          id  timestamp  track  channel  event  note  midi_value  sustain
167    14499          1      0        1     68    68         167        0
168    14499          1      0        1     71    68         168        0
169    14736          0      0        0     78     0         169        0
170    14749          0      0        1     80    80         170        0
171    14973          1      0        0     68     0         171        0
172    14973          1      0        0     71     0         172        0
173    14986          0      0        0     80     0         173        0
174    14999          0      0        1     81    80         174        0
175    14999          1      0        1     54    68         175        0
176    15001          1      0        3     64     0         176        0
177    15002          1      0        3     64   127         177        0
178    15473          0      0        0     81     0         178        0
179    15473          1      0        0     54     0         179        0
180    15499          0      0        1     81    80         180        0
181    15499          1      0        1     66    68         181        0
182    15499          1      0        1     69    68         182        0
183    15736          0      0        0     81     0         183        0
184    15749          0      0        1     80    80         184        0
185    15973          1      0        0     66     0         185        0
186    15973          1      0        0     69     0         186        0
187    15986          0      0        0     80     0         187        0
188    15999          0      0        1     78    80         188        0
189    15999          1      0        1     69    68         189        0
190    15999          1      0        1     73    68         190        0
191    16236          0      0        0     78     0         191        0
192    16249          0      0        1     76    80         192        0
193    16473          1      0        0     69     0         193        0
194    16473          1      0        0     73     0         194        0
195    16486          0      0        0     76     0         195        0
196    16499          0      0        1     78    80         196        0
197    16499          1      0        1     59    68         197        0
198    16501          1      0        3     64     0         198        0
199    16502          1      0        3     64   127         199        0
200    16973          1      0        0     59     0         200        0
201    16999          1      0        1     63    68         201        0
202    16999          1      0        1     66    68         202        0
203    17448          0      0        0     78     0         203        0
204    17473          1      0        0     63     0         204        0
205    17473          1      0        0     66     0         205        0
206    17499          0      0        1     76    80         206        0
207    17499          1      0        1     66    68         207        0
208    17499          1      0        1     71    68         208        0
209    17736          0      0        0     76     0         209        0
210    17749          0      0        1     78    80         210        0
211    17973          1      0        0     66     0         211        0
212    17973          1      0        0     71     0         212        0
213    17986          0      0        0     78     0         213        0
214    17999          0      0        1     80    80         214        0
215    17999          1      0        1     52    68         215        0
216    18001          1      0        3     64     0         216        0
217    18002          1      0        3     64   127         217        0
218    18236          0      0        0     80     0         218        0
219    18249          0      0        1     76    80         219        0
220    18473          1      0        0     52     0         220        0
