      timestamp  track  channel  event  note  profile_power  sustain
854       88605      2        0      0    49              0        0
865       89178      2        0      1    49            130        0
867       89447      2        0      0    49              0        0
885       91087      2        0      1    49            130        0
888       91332      2        0      0    49              0        0
894       91632      2        0      1    49            130        0
896       91878      2        0      0    49              0        0
906       92178      2        0      1    49            130        0
909       92423      2        0      0    49              0        0
912       92723      2        0      1    49            130        0
916       92969      2        0      0    49              0        0
926       93541      2        0      1    49            130        0
929       93811      2        0      0    49              0        0
934       94087      2        0      1    49            130        0
937       94353      2        0      0    49              0        0
947       95451      2        0      1    49            130        0
951       95696      2        0      0    49              0        0
957       95996      2        0      1    49            130        0
959       96241      2        0      0    49              0        0
967       96541      2        0      1    49            130        0
970       96787      2        0      0    49              0        0
975       97087      2        0      1    49            130        0
978       97332      2        0      0    49              0        0
989       97905      2        0      1    49            130        0
991       98174      2        0      0    49              0        0
1005      99269      2        0      1    49            140        0
1008      99787      2        0      0    49              0        0
1009      99814      2        0      1    49            130        0
1010     100060      2        0      0    49              0        0
1013     100360      2        0      1    49            130        0
1015     100605      2        0      0    49              0        0
1018     100905      2        0      1    49            131        0
1019     101151      2        0      0    49              0        0
1023     101451      2        0      1    49            140        0
1026     101696      2        0      0    49              0        0
1039     102269      2        0      1    49            134        0
1041     102514      2        0      0    49              0        0
1046     102814      2        0      1    49            134        0
1049     103060      2        0      0    49              0        0
1063     104178      2        0      1    49            134        0
1066     104423      2        0      0    49              0        0
1072     104723      2        0      1    49            134        0
1074     104969      2        0      0    49              0        0
1082     105269      2        0      1    49            134        0
1085     105514      2        0      0    49              0        0
1090     105814      2        0      1    49            134        0
1094     106060      2        0      0    49              0        0
1106     106632      2        0      1    49            134        0
1108     106878      2        0      0    49              0        0
1114     107178      2        0      1    49            134        0
1115     107423      2        0      0    49              0        0
1130     108541      2        0      1    49            134        0
1135     108787      2        0      0    49              0        0
1141     109087      2        0      1    49            134        0
1143     109332      2        0      0    49              0        0
1152     109632      2        0      1    49            134        0
1155     109878      2        0      0    49              0        0
1159     110178      2        0      1    49            134        0
1162     110423      2        0      0    49              0        0
1175     110996      2        0      1    49            134        0
1177     111241      2        0      0    49              0        0
1182     111541      2        0      1    49            134        0
1185     111787      2        0      0    49              0        0
1199     112905      2        0      1    49            133        0
1203     113151      2        0      0    49              0        0
1209     113451      2        0      1    49            133        0
1210     113696      2        0      0    49              0        0
1219     113996      2        0      1    49            131        0
1222     114241      2        0      0    49              0        0
1226     114541      2        0      1    49            131        0
1230     114787      2        0      0    49              0        0
1243     115360      2        0      1    49            134        0
1244     115605      2        0      0    49              0        0
1250     115905      2        0      1    49            134        0
1253     116151      2        0      0    49              0        0
1268     117269      2        0      1    49            125        0
1270     117514      2        0      0    49              0        0
1300     121360      2        0      1    49            128        0
1301     121605      2        0      0    49              0        0
1343     126122      2        0      1    49            128        0
1345     126368      2        0      0    49              0        0
1402     130704      2        0      1    49            128        0
1404     130949      2        0      0    49              0        0
1445     135286      2        0      1    49            128        0
1447     135531      2        0      0    49              0        0
1537     144815      2        0      1    49            128        0
1539     145060      2        0      0    49              0        0
1674     162487      2        0      1    49            130        0
1677     162733      2        0      0    49              0        0
1836     182669      2        0      1    49            130        0
1839     182915      2        0      0    49              0        0
1843     183215      2        0      1    49            130        0
1844     183433      2        0      0    49              0        0
1858     184578      2        0      1    49            130        0
1863     184824      2        0      0    49              0        0
1869     185124      2        0      1    49            130        0
1871     185369      2        0      0    49              0        0
1878     185669      2        0      1    49            130        0
1883     185915      2        0      0    49              0        0
1887     186215      2        0      1    49            130        0
1890     186460      2        0      0    49              0        0
1903     187033      2        0      1    49            130        0
1905     187278      2        0      0    49              0        0
1910     187578      2        0      1    49            130        0
1911     187796      2        0      0    49              0        0
1927     188942      2        0      1    49            130        0
1930     189187      2        0      0    49              0        0
1936     189487      2        0      1    49            130        0
1939     189733      2        0      0    49              0        0
1948     190033      2        0      1    49            130        0
1951     190278      2        0      0    49              0        0
1954     190578      2        0      1    49            130        0
1958     190824      2        0      0    49              0        0
1970     191396      2        0      1    49            130        0
1973     191642      2        0      0    49              0        0
1978     191942      2        0      1    49            130        0
1979     192160      2        0      0    49              0        0
1994     193306      2        0      1    49            130        0
1995     193551      2        0      0    49              0        0
2004     193851      2        0      1    49            130        0
2005     194096      2        0      0    49              0        0
2014     194396      2        0      1    49            130        0
2015     194642      2        0      0    49              0        0
2024     194942      2        0      1    49            130        0
2026     195187      2        0      0    49              0        0
2036     195760      2        0      1    49            130        0
2039     196006      2        0      0    49              0        0
2044     196306      2        0      1    49            130        0
2047     196524      2        0      0    49              0        0
2058     197669      2        0      1    49            130        0
2063     197915      2        0      0    49              0        0
2069     198215      2        0      1    49            130        0
2071     198460      2        0      0    49              0        0
2079     198760      2        0      1    49            130        0
2083     199006      2        0      0    49              0        0
2087     199306      2        0      1    49            130        0
2090     199551      2        0      0    49              0        0
2093     199578      2        0      1    49            130        0
2097     199824      2        0      0    49              0        0
2156     203942      2        0      1    49            130        0
2158     204187      2        0      0    49              0        0
2218     208306      2        0      1    49            130        0
2220     208551      2        0      0    49              0        0
2280     213041      2        0      1    49            130        0
2282     213347      2        0      0    49              0        0
337       34632      2        0      1    51            128        0
339       34877      2        0      0    51              0        0
377       39268      2        0      1    51            128        0
378       39514      2        0      0    51              0        0
724       75541      2        0      1    51            128        0
729       75787      2        0      0    51              0        0
767       80178      2        0      1    51            128        0
768       80423      2        0      0    51              0        0
809       85360      2        0      1    51            140        0
811       85631      2        0      0    51              0        0
1622     153542      2        0      1    51            128        0
1625     153787      2        0      0    51              0        0
1725     167124      2        0      1    51            130        0
1726     167369      2        0      0    51              0        0
1737     169306      2        0      1    51            130        0
1738     169551      2        0      0    51              0        0
24         3268      2        0      1    53            126        1
25         3513      2        0      0    53              0        1
70         8030      2        0      1    53            126        1
72         8276      2        0      0    53              0        1
126       12612      2        0      1    53            128        0
128       12857      2        0      0    53              0        0
172       17194      2        0      1    53            128        0
175       17439      2        0      0    53              0        0
278       28359      2        0      1    53            128        0
291       30159      2        0      0    53              0        0
315       32450      2        0      1    53            128        0
317       32695      2        0      0    53              0        0
414       44177      2        0      1    53            128        0
416       44423      2        0      0    53              0        0
462       48940      2        0      1    53            128        0
463       49185      2        0      0    53              0        0
517       53522      2        0      1    53            128        0
518       53767      2        0      0    53              0        0
563       58103      2        0      1    53            128        0
565       58349      2        0      0    53              0        0
669       69269      2        0      1    53            128        0
681       71069      2        0      0    53              0        0
706       73360      2        0      1    53            128        0
708       73605      2        0      0    53              0        0
802       84814      2        0      1    53            130        0
805       85084      2        0      0    53              0        0
877       89996      2        0      1    53            140        0
878       90432      2        0      0    53              0        0
939       94360      2        0      1    53            140        0
940       94796      2        0      0    53              0        0
1001      98723      2        0      1    53            140        0
1002      99160      2        0      0    53              0        0
1051     103087      2        0      1    53            134        0
1052     103523      2        0      0    53              0        0
1119     107451      2        0      1    53            134        0
1120     107887      2        0      0    53              0        0
1187     111814      2        0      1    53            134        0
1188     112251      2        0      0    53              0        0
1255     116178      2        0      1    53            134        0
1257     116614      2        0      0    53              0        0
1310     122178      2        0      1    53            128        0
1312     122423      2        0      0    53              0        0
1358     126940      2        0      1    53            128        0
1359     127186      2        0      0    53              0        0
1413     131522      2        0      1    53            128        0
1414     131768      2        0      0    53              0        0
1459     136104      2        0      1    53            128        0
1461     136349      2        0      0    53              0        0
1565     147269      2        0      1    53            128        0
1577     149069      2        0      0    53              0        0
1602     151360      2        0      1    53            128        0
1605     151606      2        0      0    53              0        0
1648     158178      2        0      1    53            130        0
1649     158424      2        0      0    53              0        0
1703     164942      2        0      1    53            130        0
1705     165187      2        0      0    53              0        0
1715     166033      2        0      1    53            130        0
1716     166251      2        0      0    53              0        0
1727     167396      2        0      1    53            130        0
1728     167642      2        0      0    53              0        0
1739     169578      2        0      1    53            130        0
1740     169824      2        0      0    53              0        0
1753     171760      2        0      1    53            130        0
1754     172006      2        0      0    53              0        0
1766     173669      2        0      1    53            130        0
1769     173915      2        0      0    53              0        0
1846     183487      2        0      1    53            140        0
1848     183924      2        0      0    53              0        0
1915     187851      2        0      1    53            140        0
1916     188287      2        0      0    53              0        0
1983     192215      2        0      1    53            130        0
1984     192651      2        0      0    53              0        0
2048     196578      2        0      1    53            140        0
2051     197015      2        0      0    53              0        0
2107     200396      2        0      1    53            130        0
2109     200642      2        0      0    53              0        0
2169     204760      2        0      1    53            130        0
2171     205006      2        0      0    53              0        0
2232     209124      2        0      1    53            130        0
2233     209369      2        0      0    53              0        0
2293     214063      2        0      1    53            130        0
2295     214370      2        0      0    53              0        0
35         4631      2        0      1    54            126        1
36         4922      2        0      0    54              0        1
91         9394      2        0      1    54            126        1
92         9664      2        0      0    54              0        1
138       13976      2        0      1    54            128        0
139       14246      2        0      0    54              0        0
194       18667      2        0      1    54            128        0
197       18967      2        0      0    54              0        0
231       23619      2        0      1    54            128        0
235       23876      2        0      0    54              0        0
294       30268      2        0      1    54            128        0
297       30514      2        0      0    54              0        0
379       39541      2        0      1    54            128        0
380       39786      2        0      0    54              0        0
426       45541      2        0      1    54            128        0
427       45831      2        0      0    54              0        0
482       50303      2        0      1    54            128        0
484       50573      2        0      0    54              0        0
528       54885      2        0      1    54            128        0
529       55155      2        0      0    54              0        0
584       59576      2        0      1    54            128        0
585       59876      2        0      0    54              0        0
622       64528      2        0      1    54            128        0
625       64786      2        0      0    54              0        0
685       71178      2        0      1    54            128        0
687       71423      2        0      0    54              0        0
769       80451      2        0      1    54            128        0
770       80696      2        0      0    54              0        0
848       88087      2        0      1    54            130        0
849       88332      2        0      0    54              0        0
910       92451      2        0      1    54            130        0
911       92696      2        0      0    54              0        0
972       96814      2        0      1    54            130        0
973       97060      2        0      0    54              0        0
1076     104996      2        0      1    54            134        0
1079     105241      2        0      0    54              0        0
1146     109360      2        0      1    54            134        0
1149     109605      2        0      0    54              0        0
1213     113723      2        0      1    54            133        0
1216     113969      2        0      0    54              0        0
1322     123541      2        0      1    54            128        0
1323     123832      2        0      0    54              0        0
1378     128304      2        0      1    54            128        0
1380     128574      2        0      0    54              0        0
1424     132886      2        0      1    54            128        0
1425     133156      2        0      0    54              0        0
1480     137577      2        0      1    54            128        0
1483     137877      2        0      0    54              0        0
1518     142529      2        0      1    54            128        0
1519     142786      2        0      0    54              0        0
1581     149178      2        0      1    54            128        0
1583     149424      2        0      0    54              0        0
1795     176124      2        0      1    54            130        0
1800     177759      1        0      0    54              0        0
1801     177760      1        0      1    54            130        0
1804     177761      2        0      0    54              0        0
1872     185396      2        0      1    54            130        0
1877     185642      2        0      0    54              0        0
1942     189760      2        0      1    54            130        0
1945     190006      2        0      0    54              0        0
2008     194124      2        0      1    54            130        0
2012     194369      2        0      0    54              0        0
2053     197123      1        0      1    54            140        0
2055     197369      1        0      0    54              0        0
2073     198487      2        0      1    54            130        0
2077     198733      2        0      0    54              0        0
2119     201487      2        0      1    54            130        0
2125     201978      2        0      0    54              0        0
2181     205851      2        0      1    54            130        0
2187     206369      2        0      0    54              0        0
2245     210215      2        0      1    54            130        0
2249     210775      2        0      0    54              0        0
2309     215768      2        0      1    54            130        0
2310     216165      2        0      0    54              0        0
14         2722      2        0      1    56            130        0
15         2968      2        0      0    56              0        0
59         7485      2        0      1    56            128        1
62         7730      2        0      0    56              0        1
73         8303      2        0      1    56            128        1
78         8736      2        0      0    56              0        1
119       12067      2        0      1    56            130        0
120       12312      2        0      0    56              0        0
162       16648      2        0      1    56            130        0
165       16894      2        0      0    56              0        0
176       17467      2        0      1    56            130        0
181       17947      2        0      0    56              0        0
254       26177      2        0      1    56            130        0
256       26423      2        0      0    56              0        0
266       27268      2        0      1    56            130        0
269       27514      2        0      0    56              0        0
388       41177      2        0      1    56            127        0
397       43141      2        0      0    56              0        0
406       43632      2        0      1    56            130        0
407       43877      2        0      0    56              0        0
450       48394      2        0      1    56            130        0
453       48640      2        0      0    56              0        0
464       49212      2        0      1    56            130        0
469       49645      2        0      0    56              0        0
509       52976      2        0      1    56            130        0
510       53222      2        0      0    56              0        0
552       57558      2        0      1    56            130        0
555       57803      2        0      0    56              0        0
566       58376      2        0      1    56            130        0
571       58856      2        0      0    56              0        0
645       67087      2        0      1    56            130        0
647       67332      2        0      0    56              0        0
657       68178      2        0      1    56            130        0
659       68423      2        0      0    56              0        0
780       82087      2        0      1    56            127        0
789       84051      2        0      0    56              0        0
795       84269      1        0      1    56            133        0
799       84759      1        0      0    56              0        0
829       86996      2        0      1    56            132        0
831       87241      2        0      0    56              0        0
891       91360      2        0      1    56            132        0
892       91605      2        0      0    56              0        0
953       95723      2        0      1    56            132        0
955       95969      2        0      0    56              0        0
1011     100087      2        0      1    56            132        0
1012     100332      2        0      0    56              0        0
1016     100632      2        0      1    56            134        0
1017     100878      2        0      0    56              0        0
1020     101178      2        0      1    56            142        0
1021     101423      2        0      0    56              0        0
1069     104451      2        0      1    56            136        0
1070     104696      2        0      0    56              0        0
1088     105541      2        0      1    56            136        0
1089     105787      2        0      0    56              0        0
1137     108814      2        0      1    56            136        0
1139     109060      2        0      0    56              0        0
1156     109905      2        0      1    56            136        0
1157     110151      2        0      0    56              0        0
1204     113178      2        0      1    56            135        0
1206     113423      2        0      0    56              0        0
1224     114269      2        0      1    56            135        0
1225     114514      2        0      0    56              0        0
1272     117541      2        0      1    56            127        0
1294     121141      2        0      0    56              0        0
1302     121632      2        0      1    56            130        0
1303     121878      2        0      0    56              0        0
1346     126395      2        0      1    56            130        0
1349     126640      2        0      0    56              0        0
1360     127213      2        0      1    56            130        0
1365     127646      2        0      0    56              0        0
1405     130977      2        0      1    56            130        0
1406     131222      2        0      0    56              0        0
1448     135558      2        0      1    56            130        0
1451     135804      2        0      0    56              0        0
1462     136377      2        0      1    56            130        0
1467     136857      2        0      0    56              0        0
1541     145087      2        0      1    56            130        0
1543     145333      2        0      0    56              0        0
1553     146178      2        0      1    56            130        0
1555     146424      2        0      0    56              0        0
1664     160387      2        0      1    56            132        0
1666     160657      2        0      0    56              0        0
1678     162760      2        0      1    56            132        0
1681     163006      2        0      0    56              0        0
1692     163851      2        0      1    56            132        0
1694     164069      2        0      0    56              0        0
1757     172033      2        0      1    56            132        0
1762     173287      2        0      0    56              0        0
1770     173942      2        0      1    56            132        0
1779     174924      2        0      0    56              0        0
1865     184851      2        0      1    56            132        0
1867     185096      2        0      0    56              0        0
1884     185942      2        0      1    56            132        0
1885     186187      2        0      0    56              0        0
1933     189215      2        0      1    56            132        0
1934     189460      2        0      0    56              0        0
1952     190306      2        0      1    56            132        0
1953     190551      2        0      0    56              0        0
1998     193578      2        0      1    56            132        0
2002     193824      2        0      0    56              0        0
2018     194669      2        0      1    56            132        0
2022     194915      2        0      0    56              0        0
2028     195214      1        0      1    56            136        0
2033     195651      1        0      0    56              0        0
2041     196032      1        0      1    56            142        0
2046     196523      1        0      0    56              0        0
2065     197942      2        0      1    56            132        0
2067     198187      2        0      0    56              0        0
2084     199033      2        0      1    56            132        0
2085     199278      2        0      0    56              0        0
2099     199851      2        0      1    56            132        0
2101     200096      2        0      0    56              0        0
2161     204215      2        0      1    56            132        0
2163     204460      2        0      0    56              0        0
2223     208578      2        0      1    56            132        0
2225     208824      2        0      0    56              0        0
2285     213381      2        0      1    56            132        0
2287     213688      2        0      0    56              0        0
212       21333      2        0      1    58            130        0
213       21590      2        0      0    58              0        0
340       34905      2        0      1    58            130        0
341       35150      2        0      0    58              0        0
602       62243      2        0      1    58            130        0
603       62500      2        0      0    58              0        0
730       75814      2        0      1    58            130        0
731       76060      2        0      0    58              0        0
1496     140243      2        0      1    58            130        0
1499     140500      2        0      0    58              0        0
1626     153815      2        0      1    58            130        0
1627     154060      2        0      0    58              0        0
1729     167669      2        0      1    58            132        0
1734     168924      2        0      0    58              0        0
1741     169851      2        0      1    58            132        0
1748     171106      2        0      0    58              0        0
1786     175578      1        0      1    58            131        0
1791     176069      1        0      0    58              0        0
1799     176941      1        0      1    58            136        0
1802     177760      1        0      0    58              0        0
1805     177828      1        0      1    58            132        0
1808     178701      1        0      0    58              0        0
270       27541      2        0      1    60            131        0
274       28032      2        0      0    60              0        0
385       40905      2        0      1    60            131        0
386       41150      2        0      0    60              0        0
387       41177      2        0      1    60            128        0
398       43141      2        0      0    60              0        0
661       68451      2        0      1    60            131        0
664       68941      2        0      0    60              0        0
774       81814      2        0      1    60            131        0
776       82060      2        0      0    60              0        0
779       82087      2        0      1    60            128        0
790       84051      2        0      0    60              0        0
807       85087      1        0      1    60            135        0
810       85605      1        0      0    60              0        0
868       89450      1        0      1    60            135        0
874       89969      1        0      0    60              0        0
930       93814      1        0      1    60            135        0
935       94332      1        0      0    60              0        0
994       98178      1        0      1    60            135        0
998       98696      1        0      0    60              0        0
1557     146451      2        0      1    60            131        0
1560     146942      2        0      0    60              0        0
1667     160687      2        0      1    60            133        0
1673     162487      2        0      0    60              0        0
1695     164124      2        0      1    60            133        0
1698     164560      2        0      0    60              0        0
1755     172032      1        0      1    60            137        0
1758     172469      1        0      0    60              0        0
1777     174760      1        0      1    60            137        0
1784     175578      1        0      0    60              0        0
2040     196032      1        0      1    60            137        0
2045     196469      1        0      0    60              0        0
19         2995      2        0      1    61            132        0
22         3240      2        0      0    61              0        1
26         3540      2        0      1    61            130        1
29         4031      2        0      0    61              0        1
37         4954      2        0      1    61            130        1
38         5244      2        0      0    61              0        1
64         7757      2        0      1    61            130        1
67         8003      2        0      0    61              0        1
82         8848      2        0      1    61            130        1
90         9281      2        0      0    61              0        1
95         9694      2        0      1    61            130        1
97         9964      2        0      0    61              0        1
122       12339      2        0      1    61            132        0
124       12585      2        0      0    61              0        0
129       12885      2        0      1    61            132        0
132       13376      2        0      0    61              0        0
140       14276      2        0      1    61            132        0
154       16256      2        0      0    61              0        0
166       16921      2        0      1    61            132        0
169       17167      2        0      0    61              0        0
186       18067      2        0      1    61            132        0
193       18547      2        0      0    61              0        0
198       19000      2        0      1    61            132        0
208       21200      2        0      0    61              0        0
237       23905      2        0      1    61            132        0
238       24162      2        0      0    61              0        0
258       26450      2        0      1    61            132        0
262       26941      2        0      0    61              0        0
298       30541      2        0      1    61            132        0
299       30786      2        0      0    61              0        0
320       32723      2        0      1    61            132        0
322       32968      2        0      0    61              0        0
342       35177      2        0      1    61            132        0
344       35614      2        0      0    61              0        0
349       36268      2        0      1    61            132        0
352       36705      2        0      0    61              0        0
357       37359      2        0      1    61            132        0
360       37795      2        0      0    61              0        0
365       38450      2        0      1    61            132        0
369       38886      2        0      0    61              0        0
381       39814      2        0      1    61            132        0
384       40905      2        0      0    61              0        0
411       43905      2        0      1    61            132        0
412       44150      2        0      0    61              0        0
417       44450      2        0      1    61            132        0
420       44941      2        0      0    61              0        0
428       45864      2        0      1    61            132        0
429       46154      2        0      0    61              0        0
456       48667      2        0      1    61            132        0
459       48912      2        0      0    61              0        0
474       49758      2        0      1    61            132        0
481       50191      2        0      0    61              0        0
487       50603      2        0      1    61            132        0
488       50873      2        0      0    61              0        0
513       53249      2        0      1    61            132        0
515       53494      2        0      0    61              0        0
519       53794      2        0      1    61            132        0
522       54285      2        0      0    61              0        0
530       55185      2        0      1    61            132        0
544       57165      2        0      0    61              0        0
558       57831      2        0      1    61            132        0
560       58076      2        0      0    61              0        0
575       58976      2        0      1    61            132        0
583       59456      2        0      0    61              0        0
589       59909      2        0      1    61            132        0
598       62109      2        0      0    61              0        0
627       64814      2        0      1    61            132        0
628       65071      2        0      0    61              0        0
649       67360      2        0      1    61            132        0
652       67851      2        0      0    61              0        0
688       71451      2        0      1    61            132        0
689       71696      2        0      0    61              0        0
711       73632      2        0      1    61            132        0
712       73878      2        0      0    61              0        0
732       76087      2        0      1    61            132        0
734       76523      2        0      0    61              0        0
739       77178      2        0      1    61            132        0
742       77614      2        0      0    61              0        0
747       78269      2        0      1    61            132        0
750       78705      2        0      0    61              0        0
755       79360      2        0      1    61            132        0
759       79796      2        0      0    61              0        0
771       80723      2        0      1    61            132        0
775       81814      2        0      0    61              0        0
782       83450      1        0      1    61            140        0
783       83688      1        0      0    61              0        0
784       83689      1        0      1    61            140        0
785       83696      1        0      0    61              0        0
788       83996      1        0      1    61            140        0
792       84241      1        0      0    61              0        0
813       85632      1        0      1    61            140        0
816       86123      1        0      0    61              0        0
819       86178      1        0      1    61            140        0
820       86423      1        0      0    61              0        0
850       88359      1        0      1    61            140        0
852       88482      1        0      0    61              0        0
864       89178      1        0      1    61            140        0
866       89423      1        0      0    61              0        0
876       89996      1        0      1    61            140        0
879       90487      1        0      0    61              0        0
880       90541      1        0      1    61            140        0
882       90787      1        0      0    61              0        0
913       92723      1        0      1    61            140        0
914       92846      1        0      0    61              0        0
927       93541      1        0      1    61            140        0
928       93787      1        0      0    61              0        0
938       94359      1        0      1    61            140        0
941       94850      1        0      0    61              0        0
943       94905      1        0      1    61            140        0
944       95150      1        0      0    61              0        0
974       97087      1        0      1    61            140        0
976       97209      1        0      0    61              0        0
988       97905      1        0      1    61            140        0
990       98150      1        0      0    61              0        0
1000      98723      1        0      1    61            140        0
1003      99214      1        0      0    61              0        0
1006      99269      1        0      1    61            140        0
1014     100523      1        0      0    61              0        0
1269     117269      1        0      1    61            133        0
1271     117514      1        0      0    61              0        0
1277     118359      1        0      1    61            133        0
1278     118605      1        0      0    61              0        0
1283     119450      1        0      1    61            132        0
1284     119696      1        0      0    61              0        0
1306     121905      2        0      1    61            132        0
