      timestamp  track  channel  event  note  profile_power    id  sustain
102        9473      1        0      0    49              0   102        1
434       34499      1        0      1    49            122   434        1
439       34973      1        0      0    49              0   439        1
622       46499      1        0      1    49            122   622        1
627       46973      1        0      0    49              0   627        1
824       61499      1        0      1    49            122   824        1
830       61973      1        0      0    49              0   830        1
1007      73499      1        0      1    49            122  1007        1
1013      73973      1        0      0    49              0  1013        1
1214      86999      1        0      1    49            122  1214        1
1219      87473      1        0      0    49              0  1219        1
1413      98999      1        0      1    49            122  1413        1
1419      99473      1        0      0    49              0  1419        1
1613     112499      1        0      1    49            122  1613        1
1618     112973      1        0      0    49              0  1618        1
1794     124499      1        0      1    49            122  1794        1
1802     124973      1        0      0    49              0  1802        1
2001     136499      1        0      1    49            122  2001        1
2008     136973      1        0      0    49              0  2008        1
2217     148499      1        0      1    49            122  2217        1
2223     148973      1        0      0    49              0  2223        1
2720     191999      1        0      1    49            122  2720        1
2726     192473      1        0      0    49              0  2726        1
2903     203999      1        0      1    49            122  2903        1
2909     204473      1        0      0    49              0  2909        1
3108     217499      1        0      1    49            122  3108        1
3113     217973      1        0      0    49              0  3113        1
3307     229499      1        0      1    49            122  3307        1
3313     229973      1        0      0    49              0  3313        1
77         7499      1        0      1    51            121    77        1
81         7973      1        0      0    51              0    81        1
407       32999      1        0      1    51            121   407        1
413       33473      1        0      0    51              0   413        1
597       44999      1        0      1    51            121   597        1
603       45473      1        0      0    51              0   603        1
804       59999      1        0      1    51            121   804        1
809       60473      1        0      0    51              0   809        1
1187      85499      1        0      1    51            121  1187        1
1193      85973      1        0      0    51              0  1193        1
1386      97499      1        0      1    51            121  1386        1
1393      97973      1        0      0    51              0  1393        1
1595     110999      1        0      1    51            121  1595        1
1599     111473      1        0      0    51              0  1599        1
1762     122999      1        0      1    51            121  1762        1
1770     123473      1        0      0    51              0  1770        1
1967     134999      1        0      1    51            121  1967        1
1973     135473      1        0      0    51              0  1973        1
2183     146999      1        0      1    51            121  2183        1
2189     147473      1        0      0    51              0  2189        1
2700     190499      1        0      1    51            121  2700        1
2705     190973      1        0      0    51              0  2705        1
3081     215999      1        0      1    51            121  3081        1
3087     216473      1        0      0    51              0  3087        1
3280     227999      1        0      1    51            121  3280        1
3287     228473      1        0      0    51              0  3287        1
5             0      1        0      1    52            126     5        0
7           473      1        0      0    52              0     7        1
16         1499      1        0      1    52            123    16        1
19         1973      1        0      0    52              0    19        1
28         2999      1        0      1    52            123    28        1
31         3473      1        0      0    52              0    31        1
40         4499      1        0      1    52            123    40        1
43         4973      1        0      0    52              0    43        1
57         5999      1        0      1    52            123    57        1
62         6473      1        0      0    52              0    62        1
215       17999      1        0      1    52            123   215        1
220       18473      1        0      0    52              0   220        1
347       28499      1        0      1    52            123   347        1
350       28973      1        0      0    52              0   350        1
360       29999      1        0      1    52            123   360        1
363       30473      1        0      0    52              0   363        1
378       31499      1        0      1    52            123   378        1
383       31973      1        0      0    52              0   383        1
565       43499      1        0      1    52            123   565        1
570       43973      1        0      0    52              0   570        1
739       53999      1        0      1    52            123   739        1
742       54473      1        0      0    52              0   742        1
752       55499      1        0      1    52            123   752        1
755       55973      1        0      0    52              0   755        1
764       56999      1        0      1    52            123   764        1
767       57473      1        0      0    52              0   767        1
782       58499      1        0      1    52            123   782        1
788       58973      1        0      0    52              0   788        1
958       70499      1        0      1    52            123   958        1
964       70973      1        0      0    52              0   964        1
1126      80999      1        0      1    52            123  1126        1
1129      81473      1        0      0    52              0  1129        1
1140      82499      1        0      1    52            123  1140        1
1143      82973      1        0      0    52              0  1143        1
1158      83999      1        0      1    52            123  1158        1
1163      84473      1        0      0    52              0  1163        1
1350      95999      1        0      1    52            123  1350        1
1356      96473      1        0      0    52              0  1356        1
1362      96499      1        0      1    52            123  1362        1
1368      96973      1        0      0    52              0  1368        1
1543     106499      1        0      1    52            123  1543        1
1547     106973      1        0      0    52              0  1547        1
1575     109499      1        0      1    52            123  1575        1
1580     109973      1        0      0    52              0  1580        1
1731     121499      1        0      1    52            123  1731        1
1738     121973      1        0      0    52              0  1738        1
1939     133499      1        0      1    52            123  1939        1
1945     133973      1        0      0    52              0  1945        1
1948     133999      1        0      1    52            123  1948        1
1953     134473      1        0      0    52              0  1953        1
2155     145499      1        0      1    52            123  2155        1
2161     145973      1        0      0    52              0  2161        1
2164     145999      1        0      1    52            123  2164        1
2169     146473      1        0      0    52              0  2169        1
2625     182999      1        0      1    52            126  2625        0
2627     183473      1        0      0    52              0  2627        1
2636     184499      1        0      1    52            123  2636        1
2639     184973      1        0      0    52              0  2639        1
2648     185999      1        0      1    52            123  2648        1
2651     186473      1        0      0    52              0  2651        1
2660     187499      1        0      1    52            123  2660        1
2663     187973      1        0      0    52              0  2663        1
2678     188999      1        0      1    52            123  2678        1
2684     189473      1        0      0    52              0  2684        1
2854     200999      1        0      1    52            123  2854        1
2860     201473      1        0      0    52              0  2860        1
3020     211499      1        0      1    52            123  3020        1
3023     211973      1        0      0    52              0  3023        1
3034     212999      1        0      1    52            123  3034        1
3037     213473      1        0      0    52              0  3037        1
3052     214499      1        0      1    52            123  3052        1
3057     214973      1        0      0    52              0  3057        1
3244     226499      1        0      1    52            123  3244        1
3250     226973      1        0      0    52              0  3250        1
3256     226999      1        0      1    52            123  3256        1
3262     227473      1        0      0    52              0  3262        1
3438     238999      1        0      1    52            123  3438        1
3449     239948      1        0      0    52              0  3449        1
3530     244499      1        0      1    52            123  3530        1
3533     244973      1        0      0    52              0  3533        1
3542     245999      1        0      1    52            123  3542        1
3545     246503      1        0      0    52              0  3545        1
3697     259932      1        0      1    52            133  3697        1
3698     260218      1        0      0    52              0  3698        1
175       14999      1        0      1    54            121   175        1
179       15473      1        0      0    54              0   179        1
323       26999      1        0      1    54            121   323        1
328       27473      1        0      0    54              0   328        1
525       40499      1        0      1    54            121   525        1
529       40973      1        0      0    54              0   529        1
717       52499      1        0      1    54            121   717        1
720       52973      1        0      0    54              0   720        1
910       67499      1        0      1    54            121   910        1
916       67973      1        0      0    54              0   916        1
1094      79499      1        0      1    54            121  1094        1
1100      79973      1        0      0    54              0  1100        1
1305      92999      1        0      1    54            121  1305        1
1309      93473      1        0      0    54              0  1309        1
1395      97999      1        0      1    54            121  1395        1
1399      98473      1        0      0    54              0  1399        1
1516     104999      1        0      1    54            121  1516        1
1520     105473      1        0      0    54              0  1520        1
1530     105999      1        0      1    54            121  1530        1
1535     106473      1        0      0    54              0  1535        1
1693     118499      1        0      1    54            121  1693        1
1698     118973      1        0      0    54              0  1698        1
1773     123499      1        0      1    54            121  1773        1
1779     123973      1        0      0    54              0  1779        1
1901     130499      1        0      1    54            121  1901        1
1905     130973      1        0      0    54              0  1905        1
1976     135499      1        0      1    54            121  1976        1
1982     135973      1        0      0    54              0  1982        1
2106     142499      1        0      1    54            121  2106        1
2111     142973      1        0      0    54              0  2111        1
2192     147499      1        0      1    54            121  2192        1
2198     147973      1        0      0    54              0  2198        1
2318     154499      1        0      1    54            121  2318        1
2324     154973      1        0      0    54              0  2324        1
2327     154999      1        0      1    54            121  2327        1
2335     155948      1        0      0    54              0  2335        1
2343     156499      1        0      1    54            121  2343        1
2349     157448      1        0      0    54              0  2349        1
2384     160499      1        0      1    54            121  2384        1
2390     160973      1        0      0    54              0  2390        1
2447     166499      1        0      1    54            121  2447        1
2452     166973      1        0      0    54              0  2452        1
2526     172499      1        0      1    54            121  2526        1
2531     172973      1        0      0    54              0  2531        1
2598     178499      1        0      1    54            121  2598        1
2614     179923      1        0      0    54              0  2614        1
2806     197999      1        0      1    54            121  2806        1
2812     198473      1        0      0    54              0  2812        1
2988     209999      1        0      1    54            121  2988        1
2994     210473      1        0      0    54              0  2994        1
3199     223499      1        0      1    54            121  3199        1
3203     223973      1        0      0    54              0  3203        1
3289     228499      1        0      1    54            121  3289        1
3293     228973      1        0      0    54              0  3293        1
3485     241499      1        0      1    54            121  3485        1
3490     241973      1        0      0    54              0  3490        0
3705     262682      0        0      1    54            131  3705        1
3713     264823      0        0      0    54              0  3713        1
105        9499      1        0      1    56            123   105        1
108        9973      1        0      0    56              0   108        1
119       10499      1        0      1    56            123   119        1
122       10973      1        0      0    56              0   122        1
155       13499      1        0      1    56            123   155        1
159       13973      1        0      0    56              0   159        1
275       22499      1        0      1    56            123   275        1
278       22973      1        0      0    56              0   278        1
307       25499      1        0      1    56            123   307        1
311       25973      1        0      0    56              0   311        1
462       35999      1        0      1    56            123   462        1
467       36473      1        0      0    56              0   467        1
505       38999      1        0      1    56            123   505        1
509       39473      1        0      0    56              0   509        1
650       47999      1        0      1    56            123   650        1
656       48473      1        0      0    56              0   656        1
697       50999      1        0      1    56            123   697        1
701       51473      1        0      0    56              0   701        1
846       62999      1        0      1    56            123   846        1
850       63473      1        0      0    56              0   850        1
888       65999      1        0      1    56            123   888        1
893       66473      1        0      0    56              0   893        1
968       70999      1        0      1    56            123   968        1
970       71473      1        0      0    56              0   970        1
1039      74999      1        0      1    56            123  1039        1
1045      75473      1        0      0    56              0  1045        1
1077      77999      1        0      1    56            123  1077        1
1081      78473      1        0      0    56              0  1081        1
1242      88499      1        0      1    56            123  1242        1
1247      88973      1        0      0    56              0  1247        1
1285      91499      1        0      1    56            123  1285        1
1289      91973      1        0      0    56              0  1289        1
1363      96499      1        0      1    56            123  1363        1
1369      96973      1        0      0    56              0  1369        1
1443     100499      1        0      1    56            123  1443        1
1450     100973      1        0      0    56              0  1450        1
1494     103499      1        0      1    56            123  1494        1
1499     103973      1        0      0    56              0  1499        1
1639     113999      1        0      1    56            123  1639        1
1642     114473      1        0      0    56              0  1642        1
1675     116999      1        0      1    56            123  1675        1
1680     117473      1        0      0    56              0  1680        1
1805     124999      1        0      1    56            123  1805        1
1811     125473      1        0      0    56              0  1811        1
1826     125999      1        0      1    56            123  1826        1
1834     126473      1        0      0    56              0  1834        1
1879     128999      1        0      1    56            123  1879        1
1883     129473      1        0      0    56              0  1883        1
1949     133999      1        0      1    56            123  1949        1
1954     134473      1        0      0    56              0  1954        1
2028     137999      1        0      1    56            123  2028        1
2034     138473      1        0      0    56              0  2034        1
2080     140999      1        0      1    56            123  2080        1
2086     141473      1        0      0    56              0  2086        1
2165     145999      1        0      1    56            123  2165        1
2170     146473      1        0      0    56              0  2170        1
2242     149999      1        0      1    56            123  2242        1
2248     150473      1        0      0    56              0  2248        1
2292     152999      1        0      1    56            123  2292        1
2298     153473      1        0      0    56              0  2298        1
2301     153499      1        0      1    56            123  2301        1
2305     153973      1        0      0    56              0  2305        1
2369     158999      1        0      1    56            123  2369        1
2373     159473      1        0      0    56              0  2373        1
2403     161999      1        0      1    56            123  2403        1
2406     162473      1        0      0    56              0  2406        1
2433     164999      1        0      1    56            123  2433        1
2437     165473      1        0      0    56              0  2437        1
2467     167999      1        0      1    56            123  2467        1
2470     168473      1        0      0    56              0  2470        1
2506     170999      1        0      1    56            123  2506        1
2511     171473      1        0      0    56              0  2511        1
2552     173999      1        0      1    56            123  2552        1
2555     174473      1        0      0    56              0  2555        1
2585     176999      1        0      1    56            123  2585        1
2588     177473      1        0      0    56              0  2588        1
2729     192499      1        0      1    56            123  2729        1
2731     192973      1        0      0    56              0  2731        1
2742     193499      1        0      1    56            123  2742        1
2746     193973      1        0      0    56              0  2746        1
2784     196499      1        0      1    56            123  2784        1
2789     196973      1        0      0    56              0  2789        1
2864     201499      1        0      1    56            123  2864        1
2866     201973      1        0      0    56              0  2866        1
2935     205499      1        0      1    56            123  2935        1
2939     205973      1        0      0    56              0  2939        1
2971     208499      1        0      1    56            123  2971        1
2975     208973      1        0      0    56              0  2975        1
3136     218999      1        0      1    56            123  3136        1
3141     219473      1        0      0    56              0  3141        1
3179     221999      1        0      1    56            123  3179        1
3183     222473      1        0      0    56              0  3183        1
3257     226999      1        0      1    56            123  3257        1
3263     227473      1        0      0    56              0  3263        1
3337     230999      1        0      1    56            123  3337        1
3344     231473      1        0      0    56              0  3344        1
3379     233999      1        0      1    56            123  3379        1
3382     234473      1        0      0    56              0  3382        1
3409     236999      1        0      1    56            123  3409        1
3412     237473      1        0      0    56              0  3412        1
3457     239999      1        0      1    56            123  3457        1
3463     240473      1        0      0    56              0  3463        1
