      timestamp  track  channel  event  note  profile_power    id  sustain
216       18001      1        0      3    64              0   216        0
217       18002      1        0      3    64            127   217        0
224       18499      1        0      1    64            123   224        1
226       18973      1        0      0    64              0   226        1
227       18999      1        0      1    64            123   227        1
231       19473      1        0      0    64              0   231        1
236       19501      1        0      3    64              0   236        0
237       19502      1        0      3    64            127   237        0
254       21001      1        0      3    64              0   254        0
255       21002      1        0      3    64            127   255        0
261       21499      1        0      1    64            123   261        1
264       21973      1        0      0    64              0   264        1
276       22501      1        0      3    64              0   276        0
277       22502      1        0      3    64            127   277        0
292       24001      1        0      3    64              0   292        0
293       24002      1        0      3    64            127   293        0
297       24499      1        0      1    64            123   297        1
303       25448      1        0      0    64              0   303        1
308       25501      1        0      3    64              0   308        0
309       25502      1        0      3    64            127   309        0
313       25999      1        0      1    64            123   313        1
319       26948      1        0      0    64              0   319        1
324       27001      1        0      3    64              0   324        0
325       27002      1        0      3    64            127   325        0
348       28501      1        0      3    64              0   348        0
349       28502      1        0      3    64            127   349        0
352       28999      1        0      1    64            123   352        1
354       29473      1        0      0    64              0   354        1
355       29499      1        0      1    64            123   355        1
358       29973      1        0      0    64              0   358        1
361       30001      1        0      3    64              0   361        0
362       30002      1        0      3    64            127   362        0
365       30499      1        0      1    64            123   365        1
367       30973      1        0      0    64              0   367        1
369       30999      1        0      1    64            123   369        1
373       31473      1        0      0    64              0   373        1
379       31501      1        0      3    64              0   379        0
380       31502      1        0      3    64            127   380        0
387       31999      1        0      1    64            123   387        1
392       32473      1        0      0    64              0   392        1
396       32499      1        0      1    64            123   396        1
401       32973      1        0      0    64              0   401        1
408       33001      1        0      3    64              0   408        0
409       33002      1        0      3    64            127   409        0
435       34501      1        0      3    64              0   435        0
436       34502      1        0      3    64            127   436        0
443       34999      1        0      1    64            123   443        1
448       35473      1        0      0    64              0   448        1
463       36001      1        0      3    64              0   463        0
464       36002      1        0      3    64            127   464        0
486       37501      1        0      3    64              0   486        0
487       37502      1        0      3    64            127   487        0
491       37999      1        0      1    64            123   491        1
494       38473      1        0      0    64              0   494        1
506       39001      1        0      3    64              0   506        0
507       39002      1        0      3    64            127   507        0
511       39499      1        0      1    64            123   511        1
514       39973      1        0      0    64              0   514        1
526       40501      1        0      3    64              0   526        0
527       40502      1        0      3    64            127   527        0
548       42001      1        0      3    64              0   548        0
549       42002      1        0      3    64            127   549        0
566       43501      1        0      3    64              0   566        0
567       43502      1        0      3    64            127   567        0
576       43999      1        0      1    64            123   576        1
581       44473      1        0      0    64              0   581        1
598       45001      1        0      3    64              0   598        0
599       45002      1        0      3    64            127   599        0
623       46501      1        0      3    64              0   623        0
624       46502      1        0      3    64            127   624        0
631       46999      1        0      1    64            123   631        1
636       47473      1        0      0    64              0   636        1
640       47499      1        0      1    64            123   640        1
645       47973      1        0      0    64              0   645        1
651       48001      1        0      3    64              0   651        0
652       48002      1        0      3    64            127   652        0
676       49501      1        0      3    64              0   676        0
677       49502      1        0      3    64            127   677        0
682       49999      1        0      1    64            123   682        1
686       50473      1        0      0    64              0   686        1
689       50499      1        0      1    64            123   689        1
693       50973      1        0      0    64              0   693        1
698       51001      1        0      3    64              0   698        0
699       51002      1        0      3    64            127   699        0
703       51499      1        0      1    64            123   703        1
706       51973      1        0      0    64              0   706        1
718       52501      1        0      3    64              0   718        0
719       52502      1        0      3    64            127   719        0
722       52999      1        0      1    64            123   722        1
726       53473      1        0      0    64              0   726        1
740       54001      1        0      3    64              0   740        0
741       54002      1        0      3    64            127   741        0
744       54499      1        0      1    64            123   744        1
746       54973      1        0      0    64              0   746        1
747       54999      1        0      1    64            123   747        1
750       55473      1        0      0    64              0   750        1
753       55501      1        0      3    64              0   753        0
754       55502      1        0      3    64            127   754        0
757       55999      1        0      1    64            123   757        1
759       56473      1        0      0    64              0   759        1
760       56499      1        0      1    64            123   760        1
762       56973      1        0      0    64              0   762        1
765       57001      1        0      3    64              0   765        0
766       57002      1        0      3    64            127   766        0
769       57499      1        0      1    64            123   769        1
771       57973      1        0      0    64              0   771        1
773       57999      1        0      1    64            123   773        1
777       58473      1        0      0    64              0   777        1
783       58501      1        0      3    64              0   783        0
784       58502      1        0      3    64            127   784        0
792       58999      1        0      1    64            123   792        1
794       59473      1        0      0    64              0   794        1
795       59499      1        0      1    64            123   795        1
799       59973      1        0      0    64              0   799        1
805       60001      1        0      3    64              0   805        0
806       60002      1        0      3    64            127   806        0
825       61501      1        0      3    64              0   825        0
826       61502      1        0      3    64            127   826        0
834       61999      1        0      1    64            123   834        1
836       62473      1        0      0    64              0   836        1
837       62499      1        0      1    64            123   837        1
841       62973      1        0      0    64              0   841        1
847       63001      1        0      3    64              0   847        0
848       63002      1        0      3    64            127   848        0
867       64501      1        0      3    64              0   867        0
868       64502      1        0      3    64            127   868        0
880       65499      1        0      1    64            123   880        1
884       65973      1        0      0    64              0   884        1
889       66001      1        0      3    64              0   889        0
890       66002      1        0      3    64            127   890        0
896       66499      1        0      1    64            123   896        1
899       66973      1        0      0    64              0   899        1
901       66999      1        0      1    64            123   901        1
905       67473      1        0      0    64              0   905        1
911       67501      1        0      3    64              0   911        0
912       67502      1        0      3    64            127   912        0
930       68499      1        0      1    64            123   930        1
934       68973      1        0      0    64              0   934        1
939       69001      1        0      3    64              0   939        0
940       69002      1        0      3    64            127   940        0
959       70501      1        0      3    64              0   959        0
960       70502      1        0      3    64            127   960        0
973       71499      1        0      1    64            123   973        1
979       71973      1        0      0    64              0   979        1
986       72001      1        0      3    64              0   986        0
987       72002      1        0      3    64            127   987        0
1009      73501      1        0      3    64              0  1009        0
1010      73502      1        0      3    64            127  1010        0
1018      73999      1        0      1    64            123  1018        1
1022      74473      1        0      0    64              0  1022        1
1041      75001      1        0      3    64              0  1041        0
1040      75001      1        0      3    64              0  1040        0
1043      75002      1        0      3    64            127  1043        0
1042      75002      1        0      3    64            127  1042        0
1055      76499      1        0      1    64            123  1055        1
1057      76501      1        0      3    64              0  1057        0
1058      76502      1        0      3    64            127  1058        0
1060      76973      1        0      0    64              0  1060        1
1078      78001      1        0      3    64              0  1078        0
1079      78002      1        0      3    64            127  1079        0
1083      78499      1        0      1    64            123  1083        1
1089      79448      1        0      0    64              0  1089        1
1095      79501      1        0      3    64              0  1095        0
1096      79502      1        0      3    64            127  1096        0
1127      81001      1        0      3    64              0  1127        0
1128      81002      1        0      3    64            127  1128        0
1131      81499      1        0      1    64            123  1131        1
1133      81973      1        0      0    64              0  1133        1
1134      81999      1        0      1    64            123  1134        1
1138      82473      1        0      0    64              0  1138        1
1141      82501      1        0      3    64              0  1141        0
1142      82502      1        0      3    64            127  1142        0
1145      82999      1        0      1    64            123  1145        1
1147      83473      1        0      0    64              0  1147        1
1149      83499      1        0      1    64            123  1149        1
1153      83973      1        0      0    64              0  1153        1
1159      84001      1        0      3    64              0  1159        0
1160      84002      1        0      3    64            127  1160        0
1167      84499      1        0      1    64            123  1167        1
1172      84973      1        0      0    64              0  1172        1
1176      84999      1        0      1    64            123  1176        1
1181      85473      1        0      0    64              0  1181        1
1188      85501      1        0      3    64              0  1188        0
1189      85502      1        0      3    64            127  1189        0
1215      87001      1        0      3    64              0  1215        0
1216      87002      1        0      3    64            127  1216        0
1223      87499      1        0      1    64            123  1223        1
1228      87973      1        0      0    64              0  1228        1
1243      88501      1        0      3    64              0  1243        0
1244      88502      1        0      3    64            127  1244        0
1266      90001      1        0      3    64              0  1266        0
1267      90002      1        0      3    64            127  1267        0
1271      90499      1        0      1    64            123  1271        1
1274      90973      1        0      0    64              0  1274        1
1286      91501      1        0      3    64              0  1286        0
1287      91502      1        0      3    64            127  1287        0
1291      91999      1        0      1    64            123  1291        1
1294      92473      1        0      0    64              0  1294        1
1306      93001      1        0      3    64              0  1306        0
1307      93002      1        0      3    64            127  1307        0
1328      94501      1        0      3    64              0  1328        0
1329      94502      1        0      3    64            127  1329        0
1351      96001      1        0      3    64              0  1351        0
1352      96002      1        0      3    64            127  1352        0
1375      96999      1        0      1    64            123  1375        1
1380      97473      1        0      0    64              0  1380        1
1387      97501      1        0      3    64              0  1387        0
1388      97502      1        0      3    64            127  1388        0
1414      99001      1        0      3    64              0  1414        0
1415      99002      1        0      3    64            127  1415        0
1423      99499      1        0      1    64            123  1423        1
1428      99973      1        0      0    64              0  1428        1
1432      99999      1        0      1    64            123  1432        1
1437     100473      1        0      0    64              0  1437        1
1444     100501      1        0      3    64              0  1444        0
1445     100502      1        0      3    64            127  1445        0
1471     102001      1        0      3    64              0  1471        0
1472     102002      1        0      3    64            127  1472        0
1478     102499      1        0      1    64            123  1478        1
1482     102973      1        0      0    64              0  1482        1
1485     102999      1        0      1    64            123  1485        1
1489     103473      1        0      0    64              0  1489        1
1495     103501      1        0      3    64              0  1495        0
1496     103502      1        0      3    64            127  1496        0
1502     103999      1        0      1    64            123  1502        1
1505     104473      1        0      0    64              0  1505        1
1507     104499      1        0      1    64            123  1507        1
1511     104973      1        0      0    64              0  1511        1
1517     105001      1        0      3    64              0  1517        0
1518     105002      1        0      3    64            127  1518        0
1522     105499      1        0      1    64            123  1522        1
1526     105973      1        0      0    64              0  1526        1
1544     106501      1        0      3    64              0  1544        0
1545     106502      1        0      3    64            127  1545        0
1549     106999      1        0      1    64            123  1549        1
1551     107473      1        0      0    64              0  1551        1
1552     107499      1        0      1    64            123  1552        1
1556     107973      1        0      0    64              0  1556        1
1559     108001      1        0      3    64              0  1559        0
1560     108002      1        0      3    64            127  1560        0
1563     108499      1        0      1    64            123  1563        1
1565     108973      1        0      0    64              0  1565        1
1567     108999      1        0      1    64            123  1567        1
1571     109473      1        0      0    64              0  1571        1
1576     109501      1        0      3    64              0  1576        0
1577     109502      1        0      3    64            127  1577        0
1584     109999      1        0      1    64            123  1584        1
1586     110473      1        0      0    64              0  1586        1
1587     110499      1        0      1    64            123  1587        1
1591     110973      1        0      0    64              0  1591        1
1596     111001      1        0      3    64              0  1596        0
1597     111002      1        0      3    64            127  1597        0
1614     112501      1        0      3    64              0  1614        0
1615     112502      1        0      3    64            127  1615        0
1622     112999      1        0      1    64            123  1622        1
1627     113473      1        0      0    64              0  1627        1
1640     114001      1        0      3    64              0  1640        0
1641     114002      1        0      3    64            127  1641        0
1654     115501      1        0      3    64              0  1654        0
1655     115502      1        0      3    64            127  1655        0
1659     115999      1        0      1    64            123  1659        1
1663     116473      1        0      0    64              0  1663        1
1676     117001      1        0      3    64              0  1676        0
1677     117002      1        0      3    64            127  1677        0
1683     117499      1        0      1    64            123  1683        1
1685     117973      1        0      0    64              0  1685        1
1694     118501      1        0      3    64              0  1694        0
1695     118502      1        0      3    64            127  1695        0
1702     118999      1        0      1    64            123  1702        1
1706     119473      1        0      0    64              0  1706        1
1718     120001      1        0      3    64              0  1718        0
1719     120002      1        0      3    64            127  1719        0
1732     121501      1        0      3    64              0  1732        0
1733     121502      1        0      3    64            127  1733        0
1742     121999      1        0      1    64            123  1742        1
1748     122473      1        0      0    64              0  1748        1
1751     122499      1        0      1    64            123  1751        1
1757     122973      1        0      0    64              0  1757        1
1763     123001      1        0      3    64              0  1763        0
1764     123002      1        0      3    64            127  1764        0
1795     124501      1        0      3    64              0  1795        0
1796     124502      1        0      3    64            127  1796        0
1798     124666      0        0      1    64            133  1798        1
1799     124823      0        0      0    64              0  1799        1
1804     124999      0        0      1    64            133  1804        1
1807     125157      0        0      0    64              0  1807        1
1816     125499      1        0      1    64            123  1816        1
1822     125973      1        0      0    64              0  1822        1
1827     126001      1        0      3    64              0  1827        0
1828     126002      1        0      3    64            127  1828        0
1859     127501      1        0      3    64              0  1859        0
1860     127502      1        0      3    64            127  1860        0
1864     127999      1        0      1    64            123  1864        1
1867     128473      1        0      0    64              0  1867        1
1870     128499      1        0      1    64            123  1870        1
1874     128973      1        0      0    64              0  1874        1
1880     129001      1        0      3    64              0  1880        0
1881     129002      1        0      3    64            127  1881        0
1885     129499      1        0      1    64            123  1885        1
1889     129973      1        0      0    64              0  1889        1
1892     129999      1        0      1    64            123  1892        1
1896     130473      1        0      0    64              0  1896        1
1902     130501      1        0      3    64              0  1902        0
1903     130502      1        0      3    64            127  1903        0
1907     130999      1        0      1    64            123  1907        1
1912     131473      1        0      0    64              0  1912        1
1924     132001      1        0      3    64              0  1924        0
1925     132002      1        0      3    64            127  1925        0
1940     133501      1        0      3    64              0  1940        0
1941     133502      1        0      3    64            127  1941        0
1959     134499      1        0      1    64            123  1959        1
1963     134973      1        0      0    64              0  1963        1
1968     135001      1        0      3    64              0  1968        0
1969     135002      1        0      3    64            127  1969        0
2002     136501      1        0      3    64              0  2002        0
2003     136502      1        0      3    64            127  2003        0
2012     136999      1        0      1    64            123  2012        1
2016     137473      1        0      0    64              0  2016        1
2019     137499      1        0      1    64            123  2019        1
2023     137973      1        0      0    64              0  2023        1
2029     138001      1        0      3    64              0  2029        0
2030     138002      1        0      3    64            127  2030        0
2055     139501      1        0      3    64              0  2055        0
2056     139502      1        0      3    64            127  2056        0
2064     139999      1        0      1    64            123  2064        1
2068     140473      1        0      0    64              0  2068        1
2071     140499      1        0      1    64            123  2071        1
2075     140973      1        0      0    64              0  2075        1
2081     141001      1        0      3    64              0  2081        0
2082     141002      1        0      3    64            127  2082        0
2090     141499      1        0      1    64            123  2090        1
2094     141973      1        0      0    64              0  2094        1
2097     141999      1        0      1    64            123  2097        1
2101     142473      1        0      0    64              0  2101        1
2107     142501      1        0      3    64              0  2107        0
2108     142502      1        0      3    64            127  2108        0
2114     142999      1        0      1    64            123  2114        1
2118     143473      1        0      0    64              0  2118        1
2131     144001      1        0      3    64              0  2131        0
2132     144002      1        0      3    64            127  2132        0
2156     145501      1        0      3    64              0  2156        0
2157     145502      1        0      3    64            127  2157        0
2175     146499      1        0      1    64            123  2175        1
2179     146973      1        0      0    64              0  2179        1
2184     147001      1        0      3    64              0  2184        0
2185     147002      1        0      3    64            127  2185        0
2218     148501      1        0      3    64              0  2218        0
2219     148502      1        0      3    64            127  2219        0
2226     148999      1        0      1    64            123  2226        1
2230     149473      1        0      0    64              0  2230        1
2233     149499      1        0      1    64            123  2233        1
2237     149973      1        0      0    64              0  2237        1
2243     150001      1        0      3    64              0  2243        0
2244     150002      1        0      3    64            127  2244        0
2269     151501      1        0      3    64              0  2269        0
2270     151502      1        0      3    64            127  2270        0
2276     151999      1        0      1    64            123  2276        1
2280     152473      1        0      0    64              0  2280        1
2283     152499      1        0      1    64            123  2283        1
2287     152973      1        0      0    64              0  2287        1
2293     153001      1        0      3    64              0  2293        0
2294     153002      1        0      3    64            127  2294        0
2310     153999      1        0      1    64            123  2310        1
2314     154473      1        0      0    64              0  2314        1
2319     154501      1        0      3    64              0  2319        0
2320     154502      1        0      3    64            127  2320        0
2334     155749      0        0      1    64            133  2334        1
2337     155986      0        0      0    64              0  2337        1
2340     156001      1        0      3    64              0  2340        0
2341     156002      1        0      3    64            127  2341        0
2354     157501      1        0      3    64              0  2354        0
2355     157502      1        0      3    64            127  2355        0
2361     157999      1        0      1    64            123  2361        1
2365     158948      1        0      0    64              0  2365        1
2370     159001      1        0      3    64              0  2370        0
2371     159002      1        0      3    64            127  2371        0
2385     160501      1        0      3    64              0  2385        0
2386     160502      1        0      3    64            127  2386        0
2394     160999      1        0      1    64            123  2394        1
2400     161948      1        0      0    64              0  2400        1
2404     162001      1        0      3    64              0  2404        0
2405     162002      1        0      3    64            127  2405        0
2418     163501      1        0      3    64              0  2418        0
2419     163502      1        0      3    64            127  2419        0
2425     163999      1        0      1    64            123  2425        1
2429     164948      1        0      0    64              0  2429        1
2434     165001      1        0      3    64              0  2434        0
2435     165002      1        0      3    64            127  2435        0
2448     166501      1        0      3    64              0  2448        0
2449     166502      1        0      3    64            127  2449        0
2457     166999      1        0      1    64            123  2457        1
2464     167948      1        0      0    64              0  2464        1
2468     168001      1        0      3    64              0  2468        0
2469     168002      1        0      3    64            127  2469        0
2482     169501      1        0      3    64              0  2482        0
2483     169502      1        0      3    64            127  2483        0
2490     169999      1        0      1    64            123  2490        1
2492     170473      1        0      0    64              0  2492        1
2507     171001      1        0      3    64              0  2507        0
2508     171002      1        0      3    64            127  2508        0
2527     172501      1        0      3    64              0  2527        0
2528     172502      1        0      3    64            127  2528        0
2553     174001      1        0      3    64              0  2553        0
2554     174002      1        0      3    64            127  2554        0
2563     175501      1        0      3    64              0  2563        0
2564     175502      1        0      3    64            127  2564        0
2569     175999      1        0      1    64            123  2569        1
2573     176473      1        0      0    64              0  2573        1
2586     177001      1        0      3    64              0  2586        0
2587     177002      1        0      3    64            127  2587        0
2600     178499      1        0      1    64            123  2600        1
2601     178501      1        0      3    64              0  2601        0
2602     178502      1        0      3    64            127  2602        0
2616     179923      1        0      0    64              0  2616        1
2621     180001      1        0      3    64              0  2621        0
2626     183002      1        0      3    64            127  2626        0
2629     183499      1        0      1    64            123  2629        1
2631     183973      1        0      0    64              0  2631        1
2632     183999      1        0      1    64            123  2632        1
2634     184473      1        0      0    64              0  2634        1
2637     184501      1        0      3    64              0  2637        0
2638     184502      1        0      3    64            127  2638        0
2641     184999      1        0      1    64            123  2641        1
2643     185473      1        0      0    64              0  2643        1
2644     185499      1        0      1    64            123  2644        1
2646     185973      1        0      0    64              0  2646        1
2649     186001      1        0      3    64              0  2649        0
2650     186002      1        0      3    64            127  2650        0
2653     186499      1        0      1    64            123  2653        1
2655     186973      1        0      0    64              0  2655        1
2656     186999      1        0      1    64            123  2656        1
2658     187473      1        0      0    64              0  2658        1
2661     187501      1        0      3    64              0  2661        0
2662     187502      1        0      3    64            127  2662        0
2665     187999      1        0      1    64            123  2665        1
2667     188473      1        0      0    64              0  2667        1
2669     188499      1        0      1    64            123  2669        1
2673     188973      1        0      0    64              0  2673        1
2679     189001      1        0      3    64              0  2679        0
2680     189002      1        0      3    64            127  2680        0
2688     189499      1        0      1    64            123  2688        1
2690     189973      1        0      0    64              0  2690        1
2691     189999      1        0      1    64            123  2691        1
2695     190473      1        0      0    64              0  2695        1
2701     190501      1        0      3    64              0  2701        0
2702     190502      1        0      3    64            127  2702        0
2721     192001      1        0      3    64              0  2721        0
2722     192002      1        0      3    64            127  2722        0
2734     192999      1        0      1    64            123  2734        1
2738     193473      1        0      0    64              0  2738        1
2743     193501      1        0      3    64              0  2743        0
2744     193502      1        0      3    64            127  2744        0
2763     195001      1        0      3    64              0  2763        0
2764     195002      1        0      3    64            127  2764        0
2776     195999      1        0      1    64            123  2776        1
2780     196473      1        0      0    64              0  2780        1
2785     196501      1        0      3    64              0  2785        0
2786     196502      1        0      3    64            127  2786        0
2792     196999      1        0      1    64            123  2792        1
2795     197473      1        0      0    64              0  2795        1
2797     197499      1        0      1    64            123  2797        1
2801     197973      1        0      0    64              0  2801        1
2807     198001      1        0      3    64              0  2807        0
2808     198002      1        0      3    64            127  2808        0
2818     198499      1        0      1    64            123  2818        1
2822     198973      1        0      0    64              0  2822        1
2835     199501      1        0      3    64              0  2835        0
2836     199502      1        0      3    64            127  2836        0
2855     201001      1        0      3    64              0  2855        0
2856     201002      1        0      3    64            127  2856        0
2869     201999      1        0      1    64            123  2869        1
2875     202473      1        0      0    64              0  2875        1
2882     202501      1        0      3    64              0  2882        0
2883     202502      1        0      3    64            127  2883        0
2905     204001      1        0      3    64              0  2905        0
2906     204002      1        0      3    64            127  2906        0
2914     204499      1        0      1    64            123  2914        1
2918     204973      1        0      0    64              0  2918        1
2936     205501      1        0      3    64              0  2936        0
2937     205502      1        0      3    64            127  2937        0
2949     206999      1        0      1    64            123  2949        1
2951     207001      1        0      3    64              0  2951        0
2952     207002      1        0      3    64            127  2952        0
2954     207473      1        0      0    64              0  2954        1
2972     208501      1        0      3    64              0  2972        0
2973     208502      1        0      3    64            127  2973        0
2977     208999      1        0      1    64            123  2977        1
2983     209948      1        0      0    64              0  2983        1
2989     210001      1        0      3    64              0  2989        0
2990     210002      1        0      3    64            127  2990        0
3021     211501      1        0      3    64              0  3021        0
3022     211502      1        0      3    64            127  3022        0
3025     211999      1        0      1    64            123  3025        1
3027     212473      1        0      0    64              0  3027        1
3028     212499      1        0      1    64            123  3028        1
3032     212973      1        0      0    64              0  3032        1
3035     213001      1        0      3    64              0  3035        0
3036     213002      1        0      3    64            127  3036        0
3039     213499      1        0      1    64            123  3039        1
3041     213973      1        0      0    64              0  3041        1
3043     213999      1        0      1    64            123  3043        1
3047     214473      1        0      0    64              0  3047        1
3053     214501      1        0      3    64              0  3053        0
3054     214502      1        0      3    64            127  3054        0
3061     214999      1        0      1    64            123  3061        1
3066     215473      1        0      0    64              0  3066        1
3070     215499      1        0      1    64            123  3070        1
3075     215973      1        0      0    64              0  3075        1
3082     216001      1        0      3    64              0  3082        0
3083     216002      1        0      3    64            127  3083        0
3109     217501      1        0      3    64              0  3109        0
3110     217502      1        0      3    64            127  3110        0
3117     217999      1        0      1    64            123  3117        1
3122     218473      1        0      0    64              0  3122        1
3137     219001      1        0      3    64              0  3137        0
3138     219002      1        0      3    64            127  3138        0
3160     220501      1        0      3    64              0  3160        0
3161     220502      1        0      3    64            127  3161        0
3165     220999      1        0      1    64            123  3165        1
3168     221473      1        0      0    64              0  3168        1
3180     222001      1        0      3    64              0  3180        0
3181     222002      1        0      3    64            127  3181        0
3185     222499      1        0      1    64            123  3185        1
3188     222973      1        0      0    64              0  3188        1
3200     223501      1        0      3    64              0  3200        0
3201     223502      1        0      3    64            127  3201        0
3222     225001      1        0      3    64              0  3222        0
3223     225002      1        0      3    64            127  3223        0
3245     226501      1        0      3    64              0  3245        0
3246     226502      1        0      3    64            127  3246        0
3269     227499      1        0      1    64            123  3269        1
3274     227973      1        0      0    64              0  3274        1
3281     228001      1        0      3    64              0  3281        0
3282     228002      1        0      3    64            127  3282        0
3308     229501      1        0      3    64              0  3308        0
3309     229502      1        0      3    64            127  3309        0
3317     229999      1        0      1    64            123  3317        1
3322     230473      1        0      0    64              0  3322        1
3326     230499      1        0      1    64            123  3326        1
3331     230973      1        0      0    64              0  3331        1
3338     231001      1        0      3    64              0  3338        0
3339     231002      1        0      3    64            127  3339        0
3364     232501      1        0      3    64              0  3364        0
3365     232502      1        0      3    64            127  3365        0
3369     232999      1        0      1    64            123  3369        1
3375     233948      1        0      0    64              0  3375        1
3380     234001      1        0      3    64              0  3380        0
3381     234002      1        0      3    64            127  3381        0
3384     234499      1        0      1    64            123  3384        1
3389     235448      1        0      0    64              0  3389        1
3394     235501      1        0      3    64              0  3394        0
3395     235502      1        0      3    64            127  3395        0
3399     235999      1        0      1    64            123  3399        1
3405     236948      1        0      0    64              0  3405        1
3410     237001      1        0      3    64              0  3410        0
3411     237002      1        0      3    64            127  3411        0
3413     237499      1        0      1    64            123  3413        1
3422     238448      1        0      0    64              0  3422        1
3430     238501      1        0      3    64              0  3430        0
3431     238502      1        0      3    64            127  3431        0
3458     240001      1        0      3    64              0  3458        0
3459     240002      1        0      3    64            127  3459        0
3467     240499      1        0      1    64            123  3467        1
3478     241448      1        0      0    64              0  3478        1
3486     241501      1        0      3    64              0  3486        0
3518     243002      1        0      3    64            127  3518        0
3521     243499      1        0      1    64            123  3521        1
3523     243973      1        0      0    64              0  3523        1
3524     243999      1        0      1    64            123  3524        1
3528     244473      1        0      0    64              0  3528        1
3531     244501      1        0      3    64              0  3531        0
3532     244502      1        0      3    64            127  3532        0
3535     244999      1        0      1    64            123  3535        1
3537     245473      1        0      0    64              0  3537        1
3538     245499      1        0      1    64            123  3538        1
3540     245973      1        0      0    64              0  3540        1
3543     246001      1        0      3    64              0  3543        0
3544     246002      1        0      3    64            127  3544        0
3547     246530      1        0      1    64            123  3547        1
3549     247034      1        0      0    64              0  3549        1
3550     247061      1        0      1    64            123  3550        1
3552     247565      1        0      0    64              0  3552        1
3569     249293      1        0      3    64              0  3569        0
3570     249294      1        0      3    64            127  3570        0
3588     251058      1        0      3    64              0  3588        0
3589     251059      1        0      3    64            127  3589        0
3616     252822      1        0      3    64              0  3616        0
3617     252824      1        0      3    64            127  3617        0
3636     254587      1        0      3    64              0  3636        0
3637     254588      1        0      3    64            127  3637        0
3663     256352      1        0      3    64              0  3663        0
3664     256353      1        0      3    64            127  3664        0
3674     258117      1        0      3    64              0  3674        0
3675     258118      1        0      3    64            127  3675        0
3677     258161      1        0      1    64            133  3677        1
3689     259096      0        0      1    64            133  3689        1
3690     259348      0        0      0    64              0  3690        1
3693     259566      1        0      0    64              0  3693        1
3706     262683      1        0      3    64              0  3706        0
3707     262684      1        0      3    64            127  3707        0
