      timestamp  track  channel  event  note  midi_percentage    id  sustain
167       14499      1        0      1    68               40   167        1
168       14499      1        0      1    71               40   168        1
169       14736      0        0      0    78                0   169        1
170       14749      0        0      1    80               68   170        1
171       14973      1        0      0    68                0   171        1
172       14973      1        0      0    71                0   172        1
173       14986      0        0      0    80                0   173        1
174       14999      0        0      1    81               68   174        1
175       14999      1        0      1    54               40   175        1
176       15001      1        0      3    64                0   176        0
177       15002      1        0      3    64              127   177        0
178       15473      0        0      0    81                0   178        1
179       15473      1        0      0    54                0   179        1
180       15499      0        0      1    81               68   180        1
181       15499      1        0      1    66               40   181        1
182       15499      1        0      1    69               40   182        1
183       15736      0        0      0    81                0   183        1
184       15749      0        0      1    80               68   184        1
185       15973      1        0      0    66                0   185        1
186       15973      1        0      0    69                0   186        1
187       15986      0        0      0    80                0   187        1
188       15999      0        0      1    78               68   188        1
189       15999      1        0      1    69               40   189        1
190       15999      1        0      1    73               40   190        1
191       16236      0        0      0    78                0   191        1
192       16249      0        0      1    76               68   192        1
193       16473      1        0      0    69                0   193        1
194       16473      1        0      0    73                0   194        1
195       16486      0        0      0    76                0   195        1
196       16499      0        0      1    78               68   196        1
197       16499      1        0      1    59               40   197        1
198       16501      1        0      3    64                0   198        0
199       16502      1        0      3    64              127   199        0
200       16973      1        0      0    59                0   200        1
201       16999      1        0      1    63               40   201        1
202       16999      1        0      1    66               40   202        1
203       17448      0        0      0    78                0   203        1
204       17473      1        0      0    63                0   204        1
205       17473      1        0      0    66                0   205        1
206       17499      0        0      1    76               68   206        1
207       17499      1        0      1    66               40   207        1
208       17499      1        0      1    71               40   208        1
209       17736      0        0      0    76                0   209        1
210       17749      0        0      1    78               68   210        1
211       17973      1        0      0    66                0   211        1
212       17973      1        0      0    71                0   212        1
213       17986      0        0      0    78                0   213        1
214       17999      0        0      1    80               68   214        1
215       17999      1        0      1    52               40   215        1
216       18001      1        0      3    64                0   216        0
217       18002      1        0      3    64              127   217        0
218       18236      0        0      0    80                0   218        1
219       18249      0        0      1    76               68   219        1
220       18473      1        0      0    52                0   220        1
221       18486      0        0      0    76                0   221        1
222       18499      0        0      1    83               68   222        1
223       18499      1        0      1    59               40   223        1
224       18499      1        0      1    64               40   224        1
225       18973      1        0      0    59                0   225        1
226       18973      1        0      0    64                0   226        1
227       18999      1        0      1    64               40   227        1
228       18999      1        0      1    68               40   228        1
229       19211      0        0      0    83                0   229        1
230       19249      0        0      1    80               68   230        1
231       19473      1        0      0    64                0   231        1
232       19473      1        0      0    68                0   232        1
233       19486      0        0      0    80                0   233        1
234       19499      0        0      1    78               68   234        1
235       19499      1        0      1    59               40   235        1
236       19501      1        0      3    64                0   236        0
237       19502      1        0      3    64              127   237        0
238       19973      0        0      0    78                0   238        1
239       19973      1        0      0    59                0   239        1
240       19999      0        0      1    83               68   240        1
241       19999      1        0      1    63               40   241        1
242       19999      1        0      1    66               40   242        1
243       20473      0        0      0    83                0   243        1
244       20473      1        0      0    63                0   244        1
245       20473      1        0      0    66                0   245        1
