0,0,0,3,7,98
0,0,0,3,10,64
0,0,0,3,91,66
0,0,0,3,93,66
0,1,0,1,52,68
2,1,0,3,64,127
473,1,0,0,52,64
499,1,0,1,59,68
499,1,0,1,64,68
973,1,0,0,59,64
973,1,0,0,64,64
999,1,0,1,64,68
999,1,0,1,68,68
1473,1,0,0,64,64
1473,1,0,0,68,64
1499,1,0,1,52,68
1502,1,0,3,64,127
1973,1,0,0,52,64
1999,1,0,1,59,68
1999,1,0,1,64,68
2473,1,0,0,59,64
2473,1,0,0,64,64
2499,1,0,1,64,68
2499,1,0,1,68,68
2973,1,0,0,64,64
2973,1,0,0,68,64
2999,1,0,1,52,68
3002,1,0,3,64,127
3473,1,0,0,52,64
3499,1,0,1,59,68
3499,1,0,1,64,68
3973,1,0,0,59,64
3973,1,0,0,64,64
3999,1,0,1,64,68
3999,1,0,1,68,68
4473,1,0,0,64,64
4473,1,0,0,68,64
4499,1,0,1,52,68
4502,1,0,3,64,127
4973,1,0,0,52,64
4999,1,0,1,59,68
4999,1,0,1,64,68
5473,1,0,0,59,64
5473,1,0,0,64,64
5499,0,0,1,76,80
5499,1,0,1,64,68
5499,1,0,1,68,68
5736,0,0,0,76,64
5749,0,0,1,78,80
5973,1,0,0,64,64
5973,1,0,0,68,64
5986,0,0,0,78,64
5999,0,0,1,80,80
5999,1,0,1,52,68
6002,1,0,3,64,127
6236,0,0,0,80,64
6249,0,0,1,76,80
6473,1,0,0,52,64
6486,0,0,0,76,64
6499,0,0,1,83,80
6499,1,0,1,59,68
6499,1,0,1,64,68
6973,1,0,0,59,64
6973,1,0,0,64,64
6999,1,0,1,64,68
6999,1,0,1,68,68
7211,0,0,0,83,64
7249,0,0,1,80,80
7473,1,0,0,64,64
7473,1,0,0,68,64
7486,0,0,0,80,64
7499,0,0,1,78,80
7499,1,0,1,51,68
7502,1,0,3,64,127
7973,0,0,0,78,64
7973,1,0,0,51,64
7999,0,0,1,83,80
7999,1,0,1,59,68
7999,1,0,1,63,68
7999,1,0,1,66,68
8473,0,0,0,83,64
8473,1,0,0,59,64
8473,1,0,0,63,64
8473,1,0,0,66,64
8499,0,0,1,78,80
8499,1,0,1,66,68
8499,1,0,1,71,68
8973,0,0,0,78,64
8973,1,0,0,66,64
8973,1,0,0,71,64
8999,0,0,1,76,80
8999,1,0,1,49,68
9002,1,0,3,64,127
9236,0,0,0,76,64
