timestamp,track,channel,event,note,power
9795,1,0,1,76,110
9795,2,1,1,47,116
10051,1,0,0,76,64
10102,1,0,1,74,110
10102,2,1,0,47,64
10102,2,1,1,54,110
10204,2,1,0,54,64
10229,1,0,0,74,64
10255,1,0,1,74,110
10408,2,1,1,59,110
10510,2,1,0,59,64
10714,2,1,1,54,110
10816,2,1,0,54,64
10918,1,0,0,74,64
